TestTargetsPerCommit,RL,RF,RRF,MART,RankNet,RankBoost,Coordinate Ascent,LambdaMART,RLMLP,kNN,imaging,normal,RPA
38,0.755213207844787,0,0.914059624585941,0,0,0,0,0,0.780382775119617,0,,,
38,0.78104001261896,0.908722856091277,0.903738366896262,0.984489195015511,0.810731373889269,0.902045323097955,0.770708239129292,0.961165150638835,0.768662916031337,0.885745833114254,,,
1,1,1,1,1,1,1,1,1,1,1,,,
2,1,1,1,1,0.92,1,1,1,1,1,,,
8,0.917156862745098,0.931372549019608,0.929901960784314,0.975490196078431,0.856862745098039,0.955882352941176,0.877941176470588,0.941176470588235,0.931862745098039,0.931372549019608,,,
28,0.80828364013482,0.930243712730101,0.931138190303344,0.967202488981073,0.819924812030075,0.792196007259528,0.77994555353902,0.928325123152709,0.795942442312678,0.862976406533575,,,
9,0.739298245614035,0.925614035087719,0.899298245614035,0.96140350877193,0.871228070175439,0.947368421052632,0.77859649122807,0.911929824561404,0.720350877192982,0.747368421052632,,,
50,0.796745486313337,0.940277227722772,0.929633080955154,0.960069889341875,0.803198602213162,0.836202679091439,0.812,0.934203843913803,0.794201514269074,0.860896913220734,,,
1,1,1,1,1,1,1,1,1,1,1,,,
1,1,1,1,1,1,1,1,1,1,1,,,
1,1,1,1,1,1,1,1,1,1,1,,,
1,1,1,1,1,1,1,1,1,1,1,,,
2,0.8,1,1,1,0.98,1,0.92,1,0.8,1,,,
1,1,1,1,1,1,1,1,1,1,1,,,
1,1,1,1,1,1,1,1,1,1,1,,,
2,1,1,1,1,0.92,1,0.94,1,1,1,,,
1,1,1,1,1,1,1,1,1,1,1,,,
1,1,1,1,1,1,1,1,1,1,1,,,
1,1,1,1,1,1,1,1,1,1,1,,,
1,1,1,1,1,1,1,1,1,1,1,,,
2,1,0.9,0.8,1,0.84,0.8,0.96,1,1,0.8,,,
43,0.768983742800904,0.92457169935117,0.893825180433039,0.963184369760152,0.810822337245753,0.885215426113582,0.764372676241161,0.928111103010862,0.794273529197346,0.871874316541518,,,
1,1,1,1,1,1,1,1,1,1,1,,,
1,1,1,1,1,1,1,1,1,1,1,,,
3,0.928571428571429,1,0.728571428571428,1,0.957142857142857,0.928571428571429,0.907142857142857,1,0.864285714285714,0.928571428571428,,,
2,0.8,0.8,0.98,0.8,0.96,0.8,0.96,0.8,0.8,0.8,,,
1,1,1,1,1,1,1,1,1,1,1,,,
12,0.818,0.910923076923077,0.891230769230769,0.944615384615384,0.821384615384615,0.990769230769231,0.818615384615385,0.880153846153846,0.837538461538462,0.858461538461538,,,
3,0.785714285714286,1,0.928571428571428,1,0.921428571428572,0.785714285714286,0.85,1,0.785714285714286,1,,,
2,0.8,1,1,1,0.96,1,0.96,1,0.8,1,,,
8,0.708823529411765,0.945098039215686,0.92156862745098,0.92156862745098,0.801470588235294,0.862745098039216,0.820588235294118,0.974019607843137,0.775490196078431,0.897058823529412,,,
13,0.810866910866911,0.88974358974359,0.854090354090354,0.967032967032967,0.820879120879121,0.884004884004884,0.723809523809524,0.905616605616606,0.797069597069597,0.892551892551892,,,
9,0.830175438596491,0.94,0.916491228070175,0.96140350877193,0.796140350877193,0.863157894736842,0.753684210526316,0.926666666666667,0.781052631578947,0.884210526315789,,,
6,0.832967032967033,0.967032967032967,0.95054945054945,0.978021978021978,0.9,0.967032967032967,0.821978021978022,0.994505494505495,0.767032967032967,0.879120879120879,,,
1,1,1,1,1,1,1,1,1,1,1,,,
1,1,1,1,1,1,1,1,1,1,1,,,
1,1,1,1,1,1,1,1,1,1,1,,,
9,0.941754385964912,0.705263157894737,0.68,0.996491228070175,0.977543859649123,1,0.968070175438596,0.989122807017544,0.96140350877193,0.578947368421053,,,
1,1,1,1,1,1,1,1,1,1,1,,,
2,0.8,0.8,0.96,0.8,0.96,0.8,0.9,1,0.8,0.8,,,
1,1,1,1,1,1,1,1,1,1,1,,,
2,1,0.8,0.98,0.8,0.94,1,0.98,0.96,1,0.8,,,
1,1,1,1,1,1,1,1,1,1,1,,,
1,1,1,1,1,1,1,1,1,1,1,,,
1,1,1,1,1,1,1,1,1,1,1,,,
1,1,1,1,1,1,1,1,1,1,1,,,
17,0.800616246498599,0.919159663865546,0.877759103641457,0.929411764705882,0.805434173669468,0.873389355742297,0.760448179271709,0.93764705882353,0.807282913165266,0.910924369747899,,,
16,0.849331550802139,0.94298128342246,0.910828877005347,0.899064171122995,0.813970588235294,0.843582887700535,0.76798128342246,0.911163101604278,0.817045454545455,0.879010695187166,,,
1,1,1,1,1,1,1,1,1,1,1,,,
1,1,1,1,1,1,1,1,1,1,1,,,
1,1,1,1,1,1,1,1,1,1,1,,,
1,1,1,1,1,1,1,1,1,1,1,,,
2,0.8,0.8,0.82,0.8,0.8,1,0.82,0.84,0.8,0.8,,,
