TestTargetsPerCommit,RL,RF,RRF,MART,RankNet,RankBoost,Coordinate Ascent,LambdaMART,RLMLP,kNN,math,injected,RPA
1,1,1,1,1,1,1,1,1,1,1,,,
2,0.8,1,1,1,1,1,0.94,1,0.8,1,,,
11,0.757707509881423,0.599802371541502,0.620750988142293,0.978260869565217,1,0.814229249011858,0.795849802371542,0.834189723320158,0.810671936758893,0.66403162055336,,,
130,0.756624887790984,0.881390514372878,0.884212714547013,0.974268532204832,0.628303399680078,0.813045268322973,0.820384041684384,0.906211081188707,0.784071921760787,0.825454741801149,,,
129,0.770539090073974,0.894211671420974,0.869846734032781,0.978580062300994,0.62654878747902,0.811402048611351,0.820203894157383,0.894548317804132,0.752316395107093,0.835580635580636,,,
1,1,1,1,1,1,1,1,1,1,1,,,
5,0.847272727272727,0.869090909090909,0.869090909090909,0.927272727272728,1,0.890909090909091,0.832727272727273,0.872727272727273,0.8,0.781818181818182,,,
130,0.782809241298317,0.888804341223399,0.875196441708682,0.982996875021092,0.62830798928193,0.806943797625556,0.818155789985219,0.893194970336323,0.765686516694677,0.825028178805488,,,
9,0.843859649122807,0.663859649122807,0.589122807017544,0.975438596491228,1,0.894736842105263,0.816491228070176,0.860701754385965,0.814035087719298,0.589473684210526,,,
1,1,1,1,1,1,1,1,1,1,1,,,
129,0.748128000221024,0.886894965499617,0.885820100703822,0.977295363341876,0.626690380643869,0.812555514881097,0.819196717801369,0.898454631477888,0.722313425104123,0.824468680282634,,,
3,0.928571428571429,0.978571428571428,0.978571428571428,1,1,0.928571428571429,0.857142857142857,0.992857142857143,0.864285714285714,0.785714285714286,,,
2,1,1,1,1,1,0.8,0.94,0.82,1,0.8,,,
129,0.772890365448505,0.898540692494181,0.896288048846189,0.976813255883024,0.626565778658802,0.80035225616621,0.81900484179554,0.901462622857972,0.764400577423834,0.819514991608015,,,
11,0.780434782608696,0.641897233201581,0.586956521739131,0.990118577075099,1,0.790513833992095,0.793873517786561,0.841699604743083,0.792094861660079,0.577075098814229,,,
4,0.866666666666667,0.886666666666667,0.89,0.933333333333333,1,0.833333333333333,0.826666666666667,0.78,0.846666666666667,0.9,,,
3,0.807142857142857,0.864285714285714,1,0.928571428571429,1,0.928571428571429,0.864285714285714,0.785714285714286,0.85,0.714285714285714,,,
2,1,0.96,1,0.8,1,0.8,0.92,0.82,1,0.8,,,
11,0.776284584980237,0.612845849802372,0.565217391304348,0.956521739130435,1,0.786561264822134,0.800790513833992,0.881620553359684,0.771343873517787,0.634387351778656,,,
12,0.793538461538461,0.676307692307692,0.666923076923077,0.944615384615384,1,0.846153846153846,0.791230769230769,0.955538461538461,0.754461538461538,0.561538461538461,,,
24,0.732081632653061,0.65434693877551,0.630693877551021,0.948163265306123,0.685714285714286,0.824081632653061,0.804795918367347,0.892918367346939,0.75165306122449,0.632040816326531,,,
12,0.782615384615385,0.653846153846154,0.606615384615384,0.958461538461539,1,0.813846153846154,0.778307692307692,0.967230769230769,0.728769230769231,0.636923076923077,,,
11,0.76600790513834,0.605533596837945,0.606916996047431,0.962450592885376,1,0.790513833992095,0.802371541501976,0.893675889328063,0.754347826086957,0.66403162055336,,,
8,0.823529411764706,0.676960784313726,0.604901960784314,0.96078431372549,1,0.78921568627451,0.782843137254902,0.866176470588235,0.833823529411765,0.617647058823529,,,
1,1,1,1,1,1,1,1,1,1,1,,,
4,0.813333333333334,0.97,0.9,0.933333333333333,1,0.8,0.816666666666667,0.716666666666667,0.823333333333334,0.9,,,
9,0.741754385964912,0.620701754385965,0.582105263157895,0.936842105263158,1,0.771929824561403,0.765614035087719,0.863859649122807,0.755087719298246,0.67719298245614,,,
3,0.785714285714286,0.8,0.785714285714286,0.928571428571429,1,1,0.835714285714286,0.935714285714286,0.785714285714286,0.785714285714286,,,
1,1,1,1,1,1,1,1,1,1,1,,,
