TestTargetsPerCommit,RLMLP,RL,RRF,RF,kNN,MART,RankNet,RankBoost,Coordinate Ascent,LambdaMART,,,,
6,0.810989010989011,0.788766788766789,0.638461538461538,0,0,0,0,0,0,0,,,,
36,0.765124028137727,0.756345386482373,0.801024311983216,0,0,0,0,0,0,0,,,,
36,0.74297173886215,0.741049268446529,0.798407997038134,0,0,0,0,0,0,0,,,,
36,0.784814266321116,0.777188147051161,0.81904850055535,0,0,0,0,0,0,0,,,,
2,1,1,0.8,0,0,0,0,0,0,0,,,,
2,0.8,0.8,0.82,0,0,0,0,0,0,0,,,,
9,0.867719298245614,0.856140350877193,0.896140350877193,0,0,0,0,0,0,0,,,,
2,1,1,0.8,0,0,0,0,0,0,0,,,,
4,0.9,0.896296296296296,0.803333333333333,0,0,0,0,0,0,0,,,,
3,0.957142857142857,0.952380952380953,0.928571428571429,0,0,0,0,0,0,0,,,,
3,0.785714285714286,0.785714285714286,0.714285714285714,0,0,0,0,0,0,0,,,,
4,0.896666666666667,0.888888888888889,0.726666666666667,0,0,0,0,0,0,0,,,,
9,0.723859649122807,0.705653021442495,0.925614035087719,0,0,0,0,0,0,0,,,,
6,0.806593406593407,0.822954822954823,0.683516483516483,0,0,0,0,0,0,0,,,,
7,0.791428571428571,0.862698412698413,0.934285714285714,0,0,0,0,0,0,0,,,,
1,1,1,1,0,0,0,0,0,0,0,,,,
6,0.840659340659341,0.800976800976801,0.927472527472527,0,0,0,0,0,0,0,,,,
41,0.77560136014441,0.813740443772768,0.860152806347341,0,0,0,0,0,0,0,,,,
5,0.774545454545454,0.777777777777778,0.830909090909091,0,0,0,0,0,0,0,,,,
1,1,1,1,0,0,0,0,0,0,0,,,,
7,0.640714285714286,0.692063492063492,0.75,0,0,0,0,0,0,0,,,,
9,0.784912280701754,0.745808966861599,0.771578947368421,0,0,0,0,0,0,0,,,,
8,0.77156862745098,0.743464052287582,0.932843137254902,0,0,0,0,0,0,0,,,,
37,0.766850640113798,0.791654812707444,0.874833570412518,0,0,0,0,0,0,0,,,,
3,0.778571428571429,0.928571428571429,0.714285714285714,0,0,0,0,0,0,0,,,,
43,0.744430269009259,0.742748252371348,0.857508930524167,0,0,0,0,0,0,0,,,,
19,0.871497975708502,0.871884840305893,0.85748987854251,0,0,0,0,0,0,0,,,,
5,0.789090909090909,0.802020202020202,0.827272727272727,0,0,0,0,0,0,0,,,,
6,0.741758241758242,0.75946275946276,0.89010989010989,0,0,0,0,0,0,0,,,,
6,0.794505494505494,0.768009768009768,0.989010989010989,0,0,0,0,0,0,0,,,,
5,0.850909090909091,0.808080808080808,0.874545454545454,0,0,0,0,0,0,0,,,,
1,1,1,1,0,0,0,0,0,0,0,,,,
3,0.928571428571429,0.936507936507937,0.928571428571428,0,0,0,0,0,0,0,,,,
4,0.916666666666667,0.822222222222222,0.936666666666666,0,0,0,0,0,0,0,,,,
1,1,1,1,0,0,0,0,0,0,0,,,,
18,0.760218112849692,0.739054844318002,0.678994784257942,0,0,0,0,0,0,0,,,,
5,0.903636363636364,0.927272727272727,0.927272727272727,0,0,0,0,0,0,0,,,,
9,0.841754385964912,0.86588693957115,0.936140350877193,0,0,0,0,0,0,0,,,,
3,0.85,0.809523809523809,0.778571428571429,0,0,0,0,0,0,0,,,,
23,0.732423681776133,0.731524308767602,0.906290471785384,0,0,0,0,0,0,0,,,,
22,0.790197628458498,0.824418093983312,0.860079051383399,0,0,0,0,0,0,0,,,,
6,0.720879120879121,0.765567765567766,0.879120879120879,0,0,0,0,0,0,0,,,,
3,0.8,0.928571428571429,0.885714285714286,0,0,0,0,0,0,0,,,,
14,0.656945812807882,0.638861521620142,0.912610837438423,0,0,0,0,0,0,0,,,,
2,1,1,1,0,0,0,0,0,0,0,,,,
5,0.825454545454545,0.793939393939394,0.963636363636364,0,0,0,0,0,0,0,,,,
4,0.763333333333333,0.781481481481481,0.666666666666667,0,0,0,0,0,0,0,,,,
1,1,1,1,0,0,0,0,0,0,0,,,,
9,0.817543859649123,0.810526315789474,0.933684210526316,0,0,0,0,0,0,0,,,,
8,0.755882352941176,0.737472766884532,0.833333333333333,0,0,0,0,0,0,0,,,,
8,0.683823529411765,0.734204793028323,0.842647058823529,0,0,0,0,0,0,0,,,,
3,0.928571428571429,0.928571428571429,1,0,0,0,0,0,0,0,,,,
8,0.703921568627451,0.778322440087146,0.791176470588235,0,0,0,0,0,0,0,,,,
3,0.714285714285714,0.880952380952381,0.928571428571428,0,0,0,0,0,0,0,,,,
5,0.927272727272728,0.913131313131313,0.970909090909091,0,0,0,0,0,0,0,,,,
5,0.867272727272727,0.905050505050505,0.992727272727273,0,0,0,0,0,0,0,,,,
8,0.833333333333333,0.843137254901961,0.952941176470588,0,0,0,0,0,0,0,,,,
22,0.847457180500659,0.825325720977895,0.895546772068511,0,0,0,0,0,0,0,,,,
1,1,1,1,0,0,0,0,0,0,0,,,,
2,0.8,0.8,0.8,0,0,0,0,0,0,0,,,,
2,1,1,1,0,0,0,0,0,0,0,,,,
8,0.690196078431373,0.730392156862745,0.953431372549019,0,0,0,0,0,0,0,,,,
2,0.8,0.8,0.84,0,0,0,0,0,0,0,,,,
2,0.8,0.8,0.8,0,0,0,0,0,0,0,,,,
38,0.720863347179137,0.755314860578018,0.894510752405489,0,0,0,0,0,0,0,,,,
5,0.830909090909091,0.882828282828283,0.934545454545455,0,0,0,0,0,0,0,,,,
29,0.806510812390415,0.746386128969414,0.864839275277616,0,0,0,0,0,0,0,,,,
5,0.936363636363636,0.888888888888889,0.838181818181818,0,0,0,0,0,0,0,,,,
1,1,1,1,0,0,0,0,0,0,0,,,,
8,0.825980392156863,0.836601307189542,0.922549019607843,0,0,0,0,0,0,0,,,,
8,0.834313725490196,0.799564270152505,0.920098039215686,0,0,0,0,0,0,0,,,,
5,0.894545454545454,0.793939393939394,0.829090909090909,0,0,0,0,0,0,0,,,,
9,0.799649122807017,0.801559454191033,0.883508771929825,0,0,0,0,0,0,0,,,,
5,0.78,0.793939393939394,0.829090909090909,0,0,0,0,0,0,0,,,,
5,0.923636363636364,0.783838383838384,0.856363636363636,0,0,0,0,0,0,0,,,,
5,0.901818181818182,0.783838383838384,0.86,0,0,0,0,0,0,0,,,,
6,0.858241758241758,0.874236874236874,0.926373626373626,0,0,0,0,0,0,0,,,,
5,0.805454545454545,0.848484848484848,0.838181818181818,0,0,0,0,0,0,0,,,,
6,0.798901098901099,0.836385836385837,0.881318681318681,0,0,0,0,0,0,0,,,,
5,0.856363636363636,0.860606060606061,0.845454545454545,0,0,0,0,0,0,0,,,,
5,0.825454545454545,0.797979797979798,0.825454545454545,0,0,0,0,0,0,0,,,,
7,0.769285714285714,0.735714285714286,0.87,0,0,0,0,0,0,0,,,,
8,0.803921568627451,0.788671023965141,0.937254901960784,0,0,0,0,0,0,0,,,,
5,0.818181818181818,0.822222222222222,0.836363636363636,0,0,0,0,0,0,0,,,,
5,0.890909090909091,0.860606060606061,0.818181818181818,0,0,0,0,0,0,0,,,,
5,0.72,0.777777777777778,0.889090909090909,0,0,0,0,0,0,0,,,,
5,0.734545454545455,0.727272727272727,0.927272727272727,0,0,0,0,0,0,0,,,,
1,1,1,1,0,0,0,0,0,0,0,,,,
5,0.725454545454545,0.719191919191919,0.934545454545455,0,0,0,0,0,0,0,,,,
1,1,1,1,0,0,0,0,0,0,0,,,,
1,1,1,1,0,0,0,0,0,0,0,,,,
1,1,1,1,0,0,0,0,0,0,0,,,,
1,1,1,1,0,0,0,0,0,0,0,,,,
1,1,1,1,0,0,0,0,0,0,0,,,,
5,0.725454545454545,0.733333333333333,0.82,0,0,0,0,0,0,0,,,,
1,1,1,1,0,0,0,0,0,0,0,,,,
5,0.821818181818182,0.808080808080808,0.972727272727273,0,0,0,0,0,0,0,,,,
22,0.757944664031621,0.770692431561997,0.929433465085639,0,0,0,0,0,0,0,,,,
1,1,1,1,0,0,0,0,0,0,0,,,,
1,1,1,1,0,0,0,0,0,0,0,,,,
8,0.794117647058824,0.757625272331155,0.937254901960784,0,0,0,0,0,0,0,,,,
5,0.701818181818182,0.743434343434343,0.850909090909091,0,0,0,0,0,0,0,,,,
5,0.774545454545455,0.761616161616162,0.818181818181818,0,0,0,0,0,0,0,,,,
5,0.723636363636364,0.694949494949495,0.818181818181818,0,0,0,0,0,0,0,,,,
1,1,1,1,0,0,0,0,0,0,0,,,,
1,1,1,1,0,0,0,0,0,0,0,,,,
3,0.885714285714286,0.80952380952381,0.935714285714286,0,0,0,0,0,0,0,,,,
3,0.985714285714286,0.96031746031746,0.928571428571428,0,0,0,0,0,0,0,,,,
8,0.85343137254902,0.925381263616558,0.937254901960784,0,0,0,0,0,0,0,,,,
1,1,1,1,0,0,0,0,0,0,0,,,,
5,0.847272727272727,0.846464646464647,0.916363636363636,0,0,0,0,0,0,0,,,,
3,1,1,0.928571428571428,0,0,0,0,0,0,0,,,,
1,1,1,1,0,0,0,0,0,0,0,,,,
1,1,1,1,0,0,0,0,0,0,0,,,,
1,1,1,1,0,0,0,0,0,0,0,,,,
2,0.8,0.822222222222222,0.8,0,0,0,0,0,0,0,,,,
5,0.945454545454546,0.945454545454546,0.912727272727273,0,0,0,0,0,0,0,,,,
5,0.827272727272727,0.812121212121212,0.849090909090909,0,0,0,0,0,0,0,,,,
1,1,1,1,0,0,0,0,0,0,0,,,,
5,0.852727272727273,0.858585858585859,0.910909090909091,0,0,0,0,0,0,0,,,,
2,0.8,0.8,0.84,0,0,0,0,0,0,0,,,,
1,1,1,1,0,0,0,0,0,0,0,,,,
3,0.928571428571429,0.928571428571429,0.928571428571429,0,0,0,0,0,0,0,,,,
10,0.767012987012987,0.810678210678211,0.907532467532468,0,0,0,0,0,0,0,,,,
2,0.8,0.8,1,0,0,0,0,0,0,0,,,,
1,1,1,1,0,0,0,0,0,0,0,,,,
3,0.771428571428571,0.761904761904762,1,0,0,0,0,0,0,0,,,,
1,1,1,1,0,0,0,0,0,0,0,,,,
45,0.770648192387323,0.784148218930828,0.910762860328078,0,0,0,0,0,0,0,,,,
1,1,1,1,0,0,0,0,0,0,0,,,,
29,0.8,0.806649782453406,0.890356516656926,0,0,0,0,0,0,0,,,,
1,1,1,1,0,0,0,0,0,0,0,,,,
31,0.808544546850999,0.804147465437788,0.914180107526882,0,0,0,0,0,0,0,,,,
1,1,1,1,0,0,0,0,0,0,0,,,,
1,1,1,1,0,0,0,0,0,0,0,,,,
1,1,1,1,0,0,0,0,0,0,0,,,,
1,1,1,1,0,0,0,0,0,0,0,,,,
7,0.870714285714286,0.842063492063492,0.872142857142857,0,0,0,0,0,0,0,,,,
1,1,1,1,0,0,0,0,0,0,0,,,,
1,1,1,1,0,0,0,0,0,0,0,,,,
1,1,1,1,0,0,0,0,0,0,0,,,,
1,1,1,1,0,0,0,0,0,0,0,,,,
5,0.843636363636364,0.818181818181818,0.909090909090909,0,0,0,0,0,0,0,,,,
5,0.845454545454545,0.844444444444445,0.92,0,0,0,0,0,0,0,,,,
3,0.857142857142857,0.833333333333334,0.714285714285714,0,0,0,0,0,0,0,,,,
2,0.8,0.8,0.8,0,0,0,0,0,0,0,,,,
6,0.808791208791209,0.785103785103785,0.905494505494505,0,0,0,0,0,0,0,,,,
1,1,1,1,0,0,0,0,0,0,0,,,,
8,0.722549019607843,0.673202614379085,0.924019607843137,0,0,0,0,0,0,0,,,,
6,0.867032967032967,0.868131868131868,0.896703296703297,0,0,0,0,0,0,0,,,,
8,0.819607843137255,0.743464052287582,0.924509803921569,0,0,0,0,0,0,0,,,,
1,1,1,1,0,0,0,0,0,0,0,,,,
3,0.842857142857143,0.833333333333334,0.928571428571428,0,0,0,0,0,0,0,,,,
7,0.843571428571429,0.773015873015873,0.927857142857143,0,0,0,0,0,0,0,,,,
1,1,1,1,0,0,0,0,0,0,0,,,,
1,1,1,1,0,0,0,0,0,0,0,,,,
1,1,1,1,0,0,0,0,0,0,0,,,,
1,1,1,1,0,0,0,0,0,0,0,,,,
1,1,1,1,0,0,0,0,0,0,0,,,,
1,1,1,1,0,0,0,0,0,0,0,,,,
3,0.785714285714286,0.785714285714286,0.928571428571428,0,0,0,0,0,0,0,,,,
6,0.805494505494506,0.84004884004884,0.89010989010989,0,0,0,0,0,0,0,,,,
6,0.907692307692308,0.851037851037851,0.89010989010989,0,0,0,0,0,0,0,,,,
6,0.847252747252747,0.791208791208791,0.89010989010989,0,0,0,0,0,0,0,,,,
5,0.84,0.854545454545454,0.878181818181818,0,0,0,0,0,0,0,,,,
1,1,1,1,0,0,0,0,0,0,0,,,,
5,0.850909090909091,0.864646464646465,0.981818181818182,0,0,0,0,0,0,0,,,,
1,1,1,1,0,0,0,0,0,0,0,,,,
1,1,1,1,0,0,0,0,0,0,0,,,,
4,0.956666666666667,0.9,0.926666666666667,0,0,0,0,0,0,0,,,,
5,0.845454545454546,0.78989898989899,0.938181818181818,0,0,0,0,0,0,0,,,,
5,0.909090909090909,0.868686868686869,0.927272727272727,0,0,0,0,0,0,0,,,,
6,0.838461538461538,0.815628815628816,0.923076923076923,0,0,0,0,0,0,0,,,,
6,0.767032967032967,0.735042735042735,0.893406593406593,0,0,0,0,0,0,0,,,,
5,0.792727272727273,0.822222222222222,0.949090909090909,0,0,0,0,0,0,0,,,,
1,1,1,1,0,0,0,0,0,0,0,,,,
5,0.896363636363636,0.868686868686869,0.943636363636364,0,0,0,0,0,0,0,,,,
4,0.94,0.907407407407408,0.866666666666667,0,0,0,0,0,0,0,,,,
5,0.745454545454545,0.804040404040404,0.927272727272727,0,0,0,0,0,0,0,,,,
4,0.87,0.840740740740741,0.873333333333333,0,0,0,0,0,0,0,,,,
5,0.849090909090909,0.864646464646465,0.925454545454546,0,0,0,0,0,0,0,,,,
6,0.804395604395604,0.818070818070818,0.953846153846154,0,0,0,0,0,0,0,,,,
13,0.767032967032967,0.809252475919143,0.912210012210012,0,0,0,0,0,0,0,,,,
5,0.810909090909091,0.76969696969697,0.956363636363636,0,0,0,0,0,0,0,,,,
5,0.78,0.77979797979798,0.934545454545455,0,0,0,0,0,0,0,,,,
4,0.953333333333334,0.966666666666667,0.876666666666667,0,0,0,0,0,0,0,,,,
5,0.86,0.854545454545455,0.912727272727273,0,0,0,0,0,0,0,,,,
7,0.702142857142857,0.702380952380952,0.926428571428571,0,0,0,0,0,0,0,,,,
1,1,1,1,0,0,0,0,0,0,0,,,,
1,1,1,1,0,0,0,0,0,0,0,,,,
5,0.805454545454545,0.81010101010101,0.929090909090909,0,0,0,0,0,0,0,,,,
4,0.966666666666667,0.955555555555556,0.866666666666667,0,0,0,0,0,0,0,,,,
4,0.786666666666667,0.814814814814815,0.866666666666667,0,0,0,0,0,0,0,,,,
6,0.786813186813187,0.726495726495727,0.912087912087912,0,0,0,0,0,0,0,,,,
6,0.867032967032967,0.871794871794872,0.905494505494505,0,0,0,0,0,0,0,,,,
6,0.752747252747253,0.898656898656899,0.906593406593407,0,0,0,0,0,0,0,,,,
6,0.837362637362637,0.810744810744811,0.896703296703297,0,0,0,0,0,0,0,,,,
8,0.761274509803922,0.752178649237473,0.931372549019608,0,0,0,0,0,0,0,,,,
23,0.794518963922294,0.801675403433035,0.943940795559667,0,0,0,0,0,0,0,,,,
30,0.753061872025384,0.749961807391739,0.90818614489688,0,0,0,0,0,0,0,,,,
9,0.79859649122807,0.823391812865497,0.868070175438597,0,0,0,0,0,0,0,,,,
8,0.791666666666667,0.793028322440087,0.873529411764706,0,0,0,0,0,0,0,,,,
4,0.966666666666667,0.907407407407408,0.866666666666667,0,0,0,0,0,0,0,,,,
4,0.7,0.733333333333333,0.866666666666667,0,0,0,0,0,0,0,,,,
1,1,1,1,0,0,0,0,0,0,0,,,,
1,1,1,1,0,0,0,0,0,0,0,,,,
1,1,1,1,0,0,0,0,0,0,0,,,,
1,1,1,1,0,0,0,0,0,0,0,,,,
17,0.685882352941177,0.65739184562714,0.923977591036415,0,0,0,0,0,0,0,,,,
8,0.727941176470588,0.702069716775599,0.861274509803922,0,0,0,0,0,0,0,,,,
2,0.8,0.8,0.8,0,0,0,0,0,0,0,,,,
1,1,1,1,0,0,0,0,0,0,0,,,,
1,1,1,1,0,0,0,0,0,0,0,,,,
