TestTargetsPerCommit,RL,RF,RRF,MART,RankNet,RankBoost,Coordinate Ascent,LambdaMART,RLMLP,kNN,io,normal,RPA
48,0.720505470229329,0.619971596886177,0.558131706290764,0.93454134231012,0.706900904691774,0.767357458447297,0.73280559646539,0.817031348621923,0.714356722070272,0.834788554597097,,,
51,0.7290844791987,0.608421561305628,0.790814040328604,0.922813337433555,0.71577779730264,0.878750604050433,0.68062206211835,0.876169661292448,0.736833897113737,0.841892544919387,,,
24,0.796938775510204,0.605020408163265,0.599612244897959,0.966326530612245,0.72495918367347,0.810408163265306,0.685816326530612,0.91430612244898,0.813081632653061,0.824897959183674,,,
1,1,1,1,1,1,1,1,1,1,1,,,
65,0.697928788768484,0.622897560454812,0.745955266107938,0.928020071531522,0.688498371857151,0.778775423050232,0.718661186142102,0.83809747504404,0.703987615437997,0.830886670581327,,,
23,0.781012950971323,0.62886216466235,0.542414431082331,0.972710453283997,0.702428307123034,0.732654949121184,0.68672525439408,0.887326549491212,0.757354301572618,0.794865864939871,,,
1,1,1,1,1,1,1,1,1,1,1,,,
1,1,1,1,1,1,1,1,1,1,1,,,
23,0.788899167437558,0.63290934320074,0.532377428307123,0.970629047178538,0.70268270120259,0.735892691951896,0.686517113783534,0.887812210915819,0.764176688251619,0.794865864939871,,,
1,1,1,1,1,1,1,1,1,1,1,,,
1,1,1,1,1,1,1,1,1,1,1,,,
1,1,1,1,1,1,1,1,1,1,1,,,
1,1,1,1,1,1,1,1,1,1,1,,,
3,0.828571428571429,0.9,0.871428571428571,0.714285714285714,0.935714285714286,0.785714285714286,0.878571428571429,0.957142857142857,0.807142857142857,0.714285714285714,,,
20,0.75177700348432,0.687317073170732,0.581080139372822,0.95191637630662,0.74425087108014,0.769686411149826,0.716202090592335,0.906689895470383,0.726062717770035,0.878397212543554,,,
51,0.727474410227123,0.624799015946931,0.794651407986645,0.896279049334446,0.707597856170101,0.859091508149189,0.687758643412556,0.892749198260335,0.735970654131705,0.848042876597988,,,
51,0.766742081447964,0.616274216930985,0.834189254491939,0.920089619118746,0.709853709967931,0.782629706102008,0.68055396916048,0.877191055660502,0.763778939507095,0.838971137372051,,,
1,1,1,1,1,1,1,1,1,1,1,,,
23,0.776641998149861,0.63677150786309,0.537395929694727,0.966928769657724,0.701942645698427,0.739824236817761,0.690055504162812,0.889107308048104,0.759458834412581,0.785846438482886,,,
1,1,1,1,1,1,1,1,1,1,1,,,
59,0.681345962113659,0.628550064093434,0.822857142857143,0.931847315197265,0.708910411622276,0.748967383563595,0.689717988890471,0.858542942600769,0.680643782936903,0.814898162654892,,,
2,1,0.8,0.9,1,1,0.8,0.82,0.98,1,0.8,,,
5,0.832727272727273,0.707272727272727,0.938181818181818,0.945454545454546,0.987272727272727,0.763636363636364,0.72,0.86,0.810909090909091,0.818181818181818,,,
3,0.928571428571429,0.778571428571429,0.928571428571428,0.785714285714286,0.978571428571428,1,0.814285714285714,0.928571428571429,0.885714285714286,0.928571428571428,,,
23,0.761216466234968,0.627937095282146,0.586540240518039,0.967853839037928,0.702821461609621,0.734967622571693,0.680457909343201,0.883233117483811,0.758695652173913,0.84736355226642,,,
1,1,1,1,1,1,1,1,1,1,1,,,
1,1,1,1,1,1,1,1,1,1,1,,,
3,0.928571428571429,0.757142857142857,0.928571428571428,0.928571428571429,0.978571428571428,1,0.821428571428571,0.907142857142857,0.885714285714286,0.928571428571428,,,
1,1,1,1,1,1,1,1,1,1,1,,,
1,1,1,1,1,1,1,1,1,1,1,,,
2,0.8,0.98,1,0.8,0.98,1,0.9,0.8,0.8,1,,,
93,0.68021904213111,0.668246231543095,0.88150474016274,0.900704326155495,0.681578512730356,0.748765869360161,0.708945199094176,0.821788599385596,0.692268928536037,0.770615028316187,,,
1,1,1,1,1,1,1,1,1,1,1,,,
1,1,1,1,1,1,1,1,1,1,1,,,
1,1,1,1,1,1,1,1,1,1,1,,,
1,1,1,1,1,1,1,1,1,1,1,,,
8,0.773039215686274,0.716666666666667,0.647058823529412,0.995098039215686,0.968627450980392,0.857843137254902,0.808823529411765,0.870588235294118,0.819607843137255,0.588235294117647,,,
15,0.7675,0.728709677419355,0.910322580645161,0.858870967741936,0.984274193548387,0.859677419354839,0.752741935483871,0.790241935483871,0.773629032258065,0.611290322580645,,,
1,1,1,1,1,1,1,1,1,1,1,,,
22,0.763320158102767,0.712252964426878,0.922266139657444,0.909354413702239,0.738102766798419,0.87536231884058,0.721791831357049,0.843662714097497,0.782555994729908,0.785243741765481,,,
1,1,1,1,1,1,1,1,1,1,1,,,
3,0.892857142857143,0.907142857142857,0.928571428571429,0.785714285714286,0.957142857142857,1,0.964285714285714,0.85,0.957142857142857,0.714285714285714,,,
1,1,1,1,1,1,1,1,1,1,1,,,
25,0.751619909502262,0.671873303167421,0.792850678733032,0.948597285067873,0.688579185520362,0.782262443438914,0.724524886877828,0.817972850678733,0.773411764705882,0.871674208144796,,,
2,0.8,0.8,0.82,1,1,0.8,0.88,1,0.8,0.8,,,
15,0.817822580645161,0.623548387096774,0.786774193548387,0.966935483870968,0.961774193548387,0.790322580645161,0.737983870967742,0.864193548387097,0.783870967741936,0.819354838709677,,,
73,0.668113094923271,0.607741652751438,0.91969263084723,0.912889406040091,0.694864335960226,0.808324959009891,0.691517125176617,0.836216367331827,0.663345397396278,0.818638599460517,,,
5,0.870909090909091,0.756363636363636,0.690909090909091,0.927272727272728,0.998181818181818,1,0.796363636363636,0.927272727272727,0.870909090909091,0.781818181818182,,,
6,0.778021978021978,0.660439560439561,0.751648351648352,0.945054945054945,0.993406593406593,0.824175824175824,0.730769230769231,0.962637362637363,0.76043956043956,0.879120879120879,,,
9,0.826315789473684,0.625964912280702,0.605263157894737,0.894736842105263,0.991929824561403,0.92280701754386,0.734736842105263,0.927719298245614,0.836491228070175,0.866666666666667,,,
1,1,1,1,1,1,1,1,1,1,1,,,
1,1,1,1,1,1,1,1,1,1,1,,,
20,0.777560975609756,0.597526132404181,0.760940766550523,0.932752613240418,0.750034843205575,0.849477351916376,0.708397212543554,0.91226480836237,0.797177700348432,0.834494773519164,,,
3,0.892857142857143,0.871428571428571,0.714285714285714,0.714285714285714,0.935714285714286,0.785714285714286,0.878571428571428,0.742857142857143,0.85,0.714285714285714,,,
