TestTargetsPerCommit,RL,RF,RRF,MART,RankNet,RankBoost,Coordinate Ascent,LambdaMART,RLMLP,kNN,compress,normal,RPA
30,0.800475938656795,0,0.911295610787943,0,0,0,0,0,0.790005288207298,0,,,
30,0.790111052353253,0,0.900528820729773,0,0,0,0,0,0.78632469592808,0,,,
4,0.81,0,0.946666666666667,0,0,0,0,0,0.903333333333334,0,,,
5,0.801818181818182,0,0.932727272727273,0,0,0,0,0,0.803636363636364,0,,,
40,0.729277326106595,0,0.890149051490515,0,0,0,0,0,0.764643179765131,0,,,
20,0.729756097560976,0,0.889233449477352,0,0,0,0,0,0.748571428571429,0,,,
19,0.83663967611336,0,0.885344129554656,0,0,0,0,0,0.827408906882591,0,,,
21,0.794261552401087,0,0.899637571730595,0,0,0,0,0,0.793989731199034,0,,,
21,0.793083660525521,0,0.917879794623981,0,0,0,0,0,0.814104500151012,0,,,
21,0.816067653276956,0,0.922742373905165,0,0,0,0,0,0.821987315010571,0,,,
21,0.798882512836001,0,0.907218363032317,0,0,0,0,0,0.800030202355784,0,,,
53,0.729743921315073,0,0.901798624581202,0,0,0,0,0,0.750874821215149,0,,,
31,0.752937788018434,0,0.906019585253456,0,0,0,0,0,0.762288786482335,0,,,
35,0.788953722334004,0,0.930134138162307,0,0,0,0,0,0.786961770623742,0,,,
29,0.743284628872005,0,0.917977790765634,0,0,0,0,0,0.758246639392169,0,,,
2,0.8,0,1,0,0,0,0,0,0.8,0,,,
